lat,lon,ele
-33.436254522,-70.681947209,529.531
-33.434805932,-70.678625995,530.64
-33.434461243,-70.677215435,532.119
-33.432246647,-70.673400852,535.846
-33.430075573,-70.66819147,541.951
-33.428652356,-70.663943884,541.674
-33.426810516,-70.660609723,549.61
-33.425012211,-70.655881305,551.662
-33.423184361,-70.652082007,552.193
-33.421370851,-70.647817884,564.077
-33.4188204,-70.642126841,557.248
-33.417529773,-70.63601881,606.705
-33.415401875,-70.63081711,640.788
-33.413701024,-70.623317728,636.596
-33.40976589,-70.616209237,722.15
-33.406410517,-70.612359246,739.469
-33.403303643,-70.610818737,769.995
-33.401952676,-70.613049728,674.298
-33.402085986,-70.617211677,557.719
-33.402320911,-70.62093745,522.403
-33.402623285,-70.623275846,517.651
-33.403697695,-70.626115073,520.693
-33.404727254,-70.630349477,525.005
-33.406928149,-70.635100599,531.341
-33.409866691,-70.641278179,539.809
-33.412441786,-70.646507156,545.096
-33.415385672,-70.652216781,544.4
-33.416137831,-70.653639114,548.096
-33.419403786,-70.660764988,543.21
-33.422671127,-70.668350225,535.384
-33.423779517,-70.670258603,538.692
-33.427765729,-70.679282227,531.043
-33.42848304,-70.681176678,528.127
-33.431757317,-70.688304636,522.103
-33.435795017,-70.695929841,514.0
-33.439052454,-70.703529124,507.71
-33.441971666,-70.709705004,502.908
-33.445234991,-70.717293021,502.731
-33.445953531,-70.719186244,502.07
-33.448497373,-70.724880638,495.98
-33.449919392,-70.729132934,495.969
-33.450952807,-70.733371055,486.566
-33.452011355,-70.736692454,485.907
-33.45086244,-70.736176188,484.234
-33.447859646,-70.732788026,491.989
-33.446349242,-70.731331268,497.887
-33.44522732,-70.729888957,499.727
-33.443745926,-70.727499666,502.0
-33.443416057,-70.725620599,502.234
-33.44310082,-70.723275563,503.0
-33.442499684,-70.717654203,501.001
-33.442617137,-70.713927278,500.862
-33.442661144,-70.712529857,501.437
-33.442433699,-70.707391675,504.464
-33.441399527,-70.703155199,508.0
-33.440666177,-70.701727616,509.709
-33.439294734,-70.696067617,513.389
-33.43787796,-70.691808585,516.986
-33.436879854,-70.686635657,523.0
-33.434308953,-70.681871135,528.96
-33.432158819,-70.676190182,533.935
-33.431814076,-70.67477952,535.531
-33.428894645,-70.668607947,541.98
-33.425600053,-70.661955066,545.128
-33.423742926,-70.659085101,548.68
-33.420776859,-70.654306578,552.293
-33.418544377,-70.650954508,553.279
-33.417045978,-70.649029408,549.0
-33.413654308,-70.645162715,541.091
-33.410675411,-70.640382047,539.375
-33.410299384,-70.639900521,538.0
-33.410675411,-70.640382047,539.375
-33.412540969,-70.643254037,543.18
-33.414739123,-70.648000393,547.753
-33.416928493,-70.652747588,548.211
-33.419851834,-70.658921759,544.589
-33.4224146,-70.664149342,544.245
-33.426428853,-70.672696176,533.935
-33.427143793,-70.674591454,535.948
-33.429713682,-70.679358819,528.732
-33.431178965,-70.682215266,528.975
-33.434201518,-70.685132256,524.0
-33.436398958,-70.689416709,520.904
-33.438563484,-70.694637286,514.134
-33.439995631,-70.698430867,511.649
-33.440323273,-70.700312375,508.143
-33.442793043,-70.708338208,505.889
-33.443394499,-70.713957358,502.22
-33.440746812,-70.711522822,500.839
-33.43772414,-70.708606793,503.399
-33.436212435,-70.70714852,505.533
-33.433577408,-70.704246742,507.965
-33.431705383,-70.701840908,510.052
-33.43064113,-70.698533951,514.363
